Name,City,Cuisine_Style,Rating,Price_Range
Le Duo,Brussels,Italian,5.0,1
Pizza Galia,Brussels,Italian,5.0,2
C Bon,Brussels,Italian,5.0,2
Atlasresto,Brussels,Fast Food,5.0,1
EXKi Madou,Brussels,Fast Food,5.0,2
Pasta-cup,Brussels,Italian,5.0,1
City Snack,Brussels,Fast Food,5.0,1
New York Junior Chez Yorg,Brussels,French,5.0,1
Les Saveurs du Soleil,Brussels,Lebanese,5.0,2
Le Parloir,Brussels,French,5.0,2
Pizzicato,Brussels,Italian,3.5,2
Snack Athenes,Brussels,Greek,5.0,1
Al Campanile,Brussels,Italian,5.0,2
The Living,Brussels,International,5.0,2
Comme Chez Soi,Budapest,Italian,5.0,2
Bors GasztroBar,Budapest,Fast Food,5.0,1
Eat & Meet,Budapest,European,5.0,2
Caviar&Bull,Budapest,Seafood,5.0,4
Don Pepe Menyecske,Budapest,Italian,5.0,2
Buddies Burger,Budapest,American,5.0,1
Hoppacska,Budapest,Fast Food,5.0,1
Cyrano,Budapest,European,4.0,4
Gyros Kerkyra Etelbar,Budapest,Fast Food,5.0,1
Csak a Jo Sor,Budapest,Pub,5.0,1
Casa Pomo d'Oro,Budapest,Italian,5.0,2
Doc Vino Bar,Budapest,Italian,5.0,2
Fama Budapest,Budapest,Hungarian,5.0,4
Istvanffi Veggie Burger,Budapest,Fast Food,5.0,1
Felni BeerBistro,Budapest,Bar,5.0,2
Farmbistro - Pest,Budapest,European,5.0,1
Edison Bar & Ink,Budapest,Bar,5.0,1
Cose Nostre,Budapest,Italian,5.0,1
GluteNo,Budapest,Street Food,5.0,1
Black Swan Budapest,Budapest,Bar,5.0,2
Farmbistro-Buda,Budapest,Cafe,5.0,1
Borkoltok Tarsasaga Pinceetterem,Budapest,European,5.0,2
Golvonal Bisztro,Budapest,European,5.0,2
Fat Angel Pub,Budapest,Grill,5.0,1
Hokedli,Budapest,European,5.0,1
Banh Mi Bistro,Budapest,Vietnamese,5.0,1
Chefparade,Budapest,European,5.0,2
Gorbe Bogre Cafe,Budapest,Cafe,5.0,2
827 Speciality Kitchen - vegan restaurant,Budapest,International,5.0,4
Gyuri bacsi Konyhaja,Budapest,European,5.0,1
Budapest,Budapest,Fast Food,5.0,1
Hecserli Cafe,Budapest,Cafe,5.0,2
Fannicika Bar & Bistro,Budapest,Street Food,5.0,1
Food Truck Udvar,Budapest,Mexican,5.0,1
Finom Falat Etelbar,Budapest,Italian,5.0,1
"""52"" Bistro Restauarnt and Bar",Budapest,International,5.0,2
Cafe des Arts & Innovation,Budapest,French,5.0,2
Barczy Bagel,Budapest,American,5.0,1
Cafe New Orleans Budapest,Budapest,European,5.0,1
Csaphaz Bartok,Budapest,Brew Pub,5.0,1
Creppy CafeCino Bar & Restaurant,Budapest,Bar,5.0,2
HelloAnyu! Family-friendly Community Space and Cafe,Budapest,Healthy,5.0,2
Jezsek Cukraszda,Budapest,European,5.0,1
Balatonizlelo,Budapest,European,5.0,2
Gomb Kavezo,Budapest,French,5.0,2
Jolan Neni Konyhaja,Budapest,Fast Food,5.0,1
Anyu Soup,Budapest,European,5.0,1
Cafe Memories,Budapest,Italian,5.0,1
Find Food,Budapest,International,5.0,1
Bonjour Cafe,Budapest,Pizza,5.0,1
Arnoldo Gallery and Cafe,Budapest,Diner,5.0,1
Grams Laekkerier (closed to 8. jan.),Copenhagen,Cafe,5.0,1
Pizzeria MaMeMi WestMarket,Copenhagen,Italian,5.0,1
Banana Joe,Copenhagen,American,5.0,1
Marv & Ben,Copenhagen,European,5.0,4
Host,Copenhagen,European,4.5,4
Cafe Komplet,Copenhagen,Danish,5.0,2
Alchemist,Copenhagen,International,5.0,4
Garden Restaurant & Bar,Copenhagen,European,5.0,2
Bowl Market Copenhagen,Copenhagen,Cafe,5.0,2
Madbaren Marmorkirken,Copenhagen,Pizza,5.0,1
P eatery,Copenhagen,French,5.0,2
Cafe Feel Good,Copenhagen,Cafe,5.0,2
Hey Darling,Copenhagen,Italian,5.0,2
Falafel Factory,Copenhagen,Fast Food,5.0,1
GONZO,Copenhagen,International,5.0,2
Hachi Sushi,Copenhagen,Japanese,5.0,2
GROS,Copenhagen,European,5.0,1
Pizzicato,Copenhagen,Italian,5.0,1
Gnam Gnam Pasta & Sweets,Copenhagen,Italian,5.0,1
